Bx	Pth	Multipactor Order
0.002754	72652.000000	44.401600
0.022909	44138.900000	5.177100
0.014454	55858.000000	8.011380
0.017378	50389.100000	6.539060
0.022909	44920.200000	5.011390
0.022909	45701.500000	5.123000
0.014454	53514.200000	7.929040
0.018197	55858.000000	6.250810
0.022909	45701.500000	5.208830
0.004571	66014.500000	28.062300
0.015136	55076.700000	7.593410
0.022909	45701.500000	5.039470
0.018197	55076.700000	6.070970
0.023988	48826.600000	4.574040
0.003631	67964.300000	32.798600
0.023988	48826.600000	4.836260
0.015136	56639.300000	7.661200
0.002089	80465.000000	55.865400
0.018197	52732.900000	6.051170
0.023988	48826.600000	4.639720
0.023988	47264.000000	4.393510
0.001660	85152.700000	71.177600
0.018197	54295.500000	5.987170
0.015136	54295.500000	7.541520
0.001047	74214.600000	61.020300
0.023988	48826.600000	4.873850
0.002754	74214.600000	39.621500
0.025119	52732.900000	4.336290
0.018197	55076.700000	6.220060
0.015136	55076.700000	7.489500
0.025119	55858.000000	4.331900
0.019055	57420.500000	5.544450
0.025119	52732.900000	4.409200
0.015136	54295.500000	7.372270
0.025119	55076.700000	4.400210
0.004571	64451.900000	28.754600
0.019055	56639.300000	5.479480
0.015849	49607.800000	7.779910
0.025119	56639.300000	4.490470
0.015849	49607.800000	7.268690
0.019055	56639.300000	5.454520
0.026303	61326.900000	4.218530
0.015849	51170.400000	7.268410
0.019055	55858.000000	5.757610
0.026303	62108.100000	4.155430
0.003631	66795.700000	37.559300
0.015849	49607.800000	7.270630
0.026303	61326.900000	4.258940
0.019055	56639.300000	5.339880
0.015849	48045.300000	7.427320
0.026303	61326.900000	3.978160
0.002754	72652.000000	43.771200
0.019953	53514.200000	5.652230
0.016596	49607.800000	6.822930
0.026303	60545.600000	4.561390
0.019953	53514.200000	5.460500
0.027542	57420.500000	4.007270
0.019953	51170.400000	5.382100
0.016596	50389.100000	6.893800
0.001047	74214.600000	62.640000
0.034674	34763.400000	3.625430
0.027542	58201.800000	3.961570
0.019953	51170.400000	5.547990
0.001318	82027.500000	75.997600
0.004571	64451.900000	25.795100
0.034674	35544.700000	3.463860
0.019953	53514.200000	5.651390
0.034674	35544.700000	3.408790
0.027542	57420.500000	3.918110
