By	Pth	Multipactor Order
0.125893	46482.700000	43.737200
0.660693	47264.000000	48.734100
0.190546	47264.000000	43.331300
0.436516	46482.700000	44.099100
0.275423	47264.000000	41.406500
0.125893	45701.500000	40.165700
0.199526	47264.000000	43.870300
0.131826	44138.900000	41.451000
0.436516	46482.700000	43.190300
0.691831	48045.300000	42.838600
0.275423	47264.000000	38.035500
0.199526	47264.000000	42.495100
0.131826	44138.900000	45.052400
0.436516	46482.700000	43.657800
0.288403	48045.300000	42.129200
0.199526	47264.000000	39.464100
0.131826	44138.900000	43.562500
0.691831	46482.700000	42.126000
0.131826	43357.600000	48.411600
0.199526	47264.000000	42.283300
0.288403	46482.700000	43.800500
0.436516	46482.700000	45.100300
0.131826	43357.600000	45.089300
0.691831	46482.700000	44.645000
0.199526	47264.000000	38.805600
0.288403	46482.700000	42.545600
0.138038	46482.700000	43.901700
0.436516	46482.700000	40.346500
0.208930	47264.000000	46.257400
0.138038	48045.300000	39.662300
0.288403	46482.700000	40.651100
0.691831	47264.000000	40.738700
0.138038	47264.000000	43.052300
0.457088	46482.700000	43.807200
0.288403	47264.000000	42.401400
0.208930	46482.700000	46.750100
0.138038	46482.700000	43.371200
0.208930	47264.000000	41.232500
0.301995	47264.000000	40.715800
0.457088	47264.000000	41.494800
0.138038	46482.700000	40.438400
0.208930	46482.700000	44.201300
0.691831	47264.000000	40.858900
0.301995	44920.200000	43.652600
0.144544	47264.000000	41.055500
0.208930	45701.500000	43.520100
0.457088	47264.000000	42.686700
0.301995	47264.000000	43.542400
0.144544	47264.000000	44.450500
0.218776	46482.700000	42.909500
0.724436	47264.000000	43.694500
0.144544	47264.000000	44.054800
0.301995	46482.700000	42.304100
0.457088	47264.000000	41.716400
0.218776	46482.700000	43.574200
0.144544	47264.000000	41.687900
0.301995	47264.000000	40.324500
0.144544	46482.700000	44.400600
0.218776	47264.000000	44.802400
0.457088	47264.000000	42.979400
0.151356	47264.000000	44.234400
0.724436	47264.000000	42.203500
0.316228	46482.700000	44.614500
0.218776	46482.700000	41.722000
0.151356	46482.700000	43.143900
0.478630	46482.700000	42.269400
0.316228	48045.300000	41.183200
0.218776	47264.000000	44.826300
0.151356	47264.000000	40.352500
0.316228	46482.700000	45.030700
0.724436	48045.300000	39.098900
0.151356	46482.700000	42.290400
0.229087	47264.000000	44.506900
0.478630	46482.700000	41.894600
0.316228	46482.700000	44.949800
0.151356	47264.000000	41.902300
0.229087	47264.000000	39.926700
0.478630	46482.700000	42.565900
0.158489	45701.500000	41.340900
0.316228	47264.000000	42.332300
0.724436	46482.700000	41.077800
0.229087	48045.300000	42.443100
0.158489	47264.000000	41.071500
0.229087	46482.700000	44.353000
0.331131	45701.500000	42.646900
0.478630	47264.000000	44.840300
0.158489	46482.700000	47.355700
0.229087	47264.000000	42.831800
0.724436	45701.500000	41.718300
0.158489	47264.000000	45.206300
0.331131	46482.700000	40.781600
0.478630	47264.000000	37.834800
0.239883	46482.700000	44.124700
0.158489	47264.000000	42.536200
0.158489	47264.000000	42.536200
0.122000	46482.700000	43.930100
0.121000	47264.000000	43.310000
0.124000	46482.700000	44.361800
0.123000	47264.000000	40.893700
0.120000	45701.500000	40.218300
0.122000	47264.000000	42.214000
0.121000	46482.700000	44.884200
0.123000	48045.300000	42.951600
0.124500	48045.300000	41.116700
0.120000	47264.000000	43.992700
0.122000	46482.700000	41.895000
0.124500	46482.700000	42.561000
0.123500	45701.500000	44.290200
0.120000	46482.700000	43.144000
0.121000	47264.000000	47.324400
0.122500	47264.000000	41.375800
0.123500	46482.700000	43.937200
0.124500	47264.000000	44.414200
