Bx	Pth
0.305386	825606.000000
1.555676	0.000000
1.555676	0.000000
0.305386	926858.000000
1.747528	0.000000
1.747528	0.000000
1.747528	0.000000
1.747528	0.000000
1.747528	0.000000
1.963041	0.000000
1.963041	0.000000
0.305386	624980.000000
1.963041	0.000000
1.963041	0.000000
1.963041	0.000000
2.205131	0.000000
2.205131	0.000000
2.205131	0.000000
0.343047	988686.000000
2.205131	0.000000
2.205131	0.000000
2.477076	0.000000
2.477076	0.000000
2.477076	0.000000
2.477076	0.000000
2.477076	0.000000
0.343047	988686.000000
2.782559	0.000000
0.343047	0.000000
2.782559	0.000000
2.782559	0.000000
2.782559	0.000000
2.782559	0.000000
0.343047	0.000000
3.125716	0.000000
3.125716	0.000000
3.125716	0.000000
3.125716	0.000000
3.125716	0.000000
3.511192	0.000000
3.511192	0.000000
3.511192	0.000000
3.511192	0.000000
3.511192	0.000000
3.944206	0.000000
3.944206	0.000000
3.944206	0.000000
3.944206	0.000000
3.944206	0.000000
4.430621	0.000000
0.343047	904358.000000
4.430621	0.000000
4.430621	0.000000
0.385353	0.000000
4.430621	0.000000
0.385353	0.000000
4.430621	0.000000
4.977024	0.000000
4.977024	0.000000
4.977024	0.000000
4.977024	0.000000
4.977024	0.000000
5.590810	0.000000
5.590810	0.000000
0.385353	0.000000
5.590810	0.000000
5.590810	0.000000
0.385353	0.000000
5.590810	0.000000
7.924829	0.000000
6.280291	0.000000
8.902151	0.000000
6.280291	0.000000
8.902151	0.000000
6.280291	0.000000
8.902151	0.000000
6.280291	0.000000
8.902151	0.000000
6.280291	0.000000
8.902151	0.000000
7.054802	0.000000
10.000000	0.000000
7.054802	0.000000
10.000000	0.000000
7.054802	0.000000
10.000000	0.000000
7.054802	0.000000
10.000000	0.000000
7.054802	0.000000
10.000000	0.000000
7.924829	0.000000
7.924829	0.000000
7.924829	0.000000
7.924829	0.000000
0.004132	29060.800000
0.002310	29685.900000
0.008302	27185.700000
0.004132	29685.900000
0.002595	30935.900000
0.008302	27185.700000
0.008302	27810.700000
0.004132	29685.900000
0.009326	26718.300000
0.009326	27810.700000
0.002595	30310.900000
0.004132	29685.900000
0.009326	26718.300000
0.002595	29685.900000
0.004642	29685.900000
0.009326	27185.700000
0.004642	29060.800000
0.009326	26718.300000
